Species,Family,Suborder,Age,Dentition,Diet,Echolocation,Feeding,Habitat,Literature
Berardius_bairdii,Ziphiidae,odont,Extant,reduced,cephalopods + fish,echo,suction,pelagic,"Balcomb III, K. C. 1989. Baird’s beaked whale - Berardius bairdii Stejneger, 1883: Arnoux’s beaked whale - Berardius arnouxii Duvernoy, 1851, p261–288 In Ridgway, S. H. and Harrison, R.  (eds.), Handbook of Marine Mammals - Vol. 4: River dolphins and the Larger Toothed Whales. Academic Press."
Cephalorhynchus_commersonii,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,coastal,"Goodall, R.N.P. 1994. Commerson’s dolphin - Cephalorhynchus commersonii (Lacepede, 1804), p. 241–268 In Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 5: The First Book of Dolphins. Academic Press."
Delphinapterus_leucas,Monodontidae,odont,Extant,homodont,cephalopods + fish,echo,suction,coastal-pelagic,"Stewart, B.E., and Stewart, R.E.A. 1989. Delphinapterus leucas. Mammalian Species, 336:1–8."
Delphinus_delphis,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,coastal-pelagic,"Heyning, J.E., and Perrin, W.F. 1994. Evidence for two species of common dolphins (genus Delphinus) from the eastern North Pacific. Contributions in Science, Natural History Musuem of Los Angeles County, 442:1–35."
Feresa_attenuata,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Ross, J.B., and Leatherwood, S. 1994. Pigmy killer whale - Feresa attenuata Gray, 1874; pp. 387–404 In Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 5: The First Book of Dolphins. Academic Press."
Globicephala_macrorhynchus,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,suction,pelagic,"Bernard, H.J., and Reilly, S.B. 1998. Pilot whales - Globicephala, 1828, p. 245–280 in Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 6: The second book of Dolphins and Porpoises. Elsevier Ltd."
Globicephala_melas,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,suction,pelagic,"Bernard, H.J., and Reilly, S.B. 1998. Pilot whales - Globicephala, 1828, p. 245–280 in Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 6: The second book of Dolphins and Porpoises. Elsevier Ltd."
Grampus_griseus,Delphinidae,odont,Extant,reduced,cephalopods + fish,echo,suction,pelagic,"Bearzi, G., Reeves, R.R., Remonato, E., Pierantonio, N. and Airoldi, S. 2011. Risso’s dolphin Grampus griseus in the Mediterranean Sea. Mammalian Biology, 76:385–400."
Inia_geoffrensis,Iniidae,odont,Extant,homodont,fish,echo,biting,riverine,"Best, R.C., and Da Silva, V.M.F. 1993. Inia geoffrensis. Mammalian Species, 426:1–8. Hrbek T, Silva VMF da, Dutra N, Gravena W, Martin AR, Farias IP. A New Species of River Dolphin from Brazil or: How Little Do We Know Our Biodiversity. PLOS ONE. 2014 Jan 22;9(1):e83625"
Kogia_breviceps,Kogiidae,odont,Extant,homodont,cephalopods + fish,echo,suction,pelagic,"Bloodworth, B.E., and Odell, D.K. 2008. Kogia breviceps (Cetacea: Kogiidae). Mammalian Species, 819:1–12."
Kogia_sima,Kogiidae,odont,Extant,homodont,cephalopods + fish,echo,suction,pelagic,"Bloodworth, B.E., and Odell, D.K. 2008. Kogia breviceps (Cetacea: Kogiidae). Mammalian Species, 819:1–12. T.A. Jefferson, M.A. Webber, R.L. Pitman. Marine Mammals of the World: a Comprehensive Guide to their Identification Academic Press, San Diego (2015)"
Lagenodelphis_hosei,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Jefferson, T. A., and S. Leatherwood. 1994. Lagenodelphis hosei. Mammalian Species, 470:1–5."
Lagenorhynchus_acutus,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Berrow, S., and Cotton., D.C.F.  1990. White-sided dolphin Lagenorhynchus acutus (Gray). Irish Naturalists’ Journal, 23:333–335. "
Lagenorhynchus_albirostris,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Jefferson, T.A, Webber, M.A. Pitman, R.L. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Lagenorhynchus_obliquidens,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,NOOA Fisheries https://www.fisheries.noaa.gov/species/pacific-white-sided-dolphin/overview
