"species","total_matches","threshold_met"
"Neophocaena asiaeorientalis",2,FALSE
"Sousa sahulensis",0,FALSE
"Platanista gangetica",1,FALSE
"Berardius minimus",0,FALSE
"Balaenoptera ricei",4,TRUE
"Mesoplodon eueu",0,FALSE
"Tursiops erebennus",0,FALSE
"Orcinus rectipinnus",0,FALSE
"Orcinus ater",0,FALSE
"Inia geoffrensis",4,TRUE
"Lipotes vexillifer",4,TRUE
"Pontoporia blainvillei",5,TRUE
"Platanista minor",4,TRUE
"Steno bredanensis",5,TRUE
"Sousa chinensis",4,TRUE
"Sousa teuszii",0,FALSE
"Sotalia fluviatilis",4,TRUE
"Tursiops truncatus",6,TRUE
"Stenella longirostris",5,TRUE
"Stenella attenuata",5,TRUE
"Stenella coeruleoalba",5,TRUE
"Stenella clymene",1,FALSE
"Delphinus delphis",6,TRUE
"Lagenodelphis hosei",5,TRUE
"Lagenorhynchus albirostris",6,TRUE
"Lagenorhynchus acutus",5,TRUE
"Lagenorhynchus obliquidens",5,TRUE
"Lagenorhynchus obscurus",2,FALSE
"Lagenorhynchus australis",1,FALSE
"Lagenorhynchus cruciger",0,FALSE
"Cephalorhynchus commersonii",5,TRUE
"Cephalorhynchus eutropia",0,FALSE
"Cephalorhynchus heavisidii",0,FALSE
"Cephalorhynchus hectori",0,FALSE
"Lissodelphis borealis",3,TRUE
"Lissodelphis peronii",0,FALSE
"Grampus griseus",5,TRUE
"Peponocephala electra",5,TRUE
"Feresa attenuata",5,TRUE
"Pseudorca crassidens",6,TRUE
"Globicephala macrorhynchus",5,TRUE
"Orcinus orca",6,TRUE
"Orcaella brevirostris",0,FALSE
"Phocoena phocoena",6,TRUE
"Phocoena sinus",4,TRUE
"Phocoena dioptrica",1,FALSE
"Phocoena spinipinnis",1,FALSE
"Neophocaena phocaenoides",5,TRUE
"Phocoenoides dalli",5,TRUE
"Delphinapterus leucas",6,TRUE
"Monodon monoceros",4,TRUE
"Physeter macrocephalus",6,TRUE
"Kogia breviceps",5,TRUE
"Kogia sima",4,TRUE
"Berardius arnuxii",0,FALSE
"Berardius bairdii",3,TRUE
"Ziphius cavirostris",6,TRUE
"Tasmacetus shepherdi",3,TRUE
"Indopacetus pacificus",0,FALSE
"Hyperoodon ampullatus",1,FALSE
"Hyperoodon planifrons",0,FALSE
"Mesoplodon hectori",0,FALSE
"Mesoplodon mirus",1,FALSE
"Mesoplodon europaeus",1,FALSE
"Mesoplodon ginkgodens",0,FALSE
"Mesoplodon grayi",1,FALSE
"Mesoplodon carlhubbsi",1,FALSE
"Mesoplodon bowdoini",0,FALSE
"Mesoplodon stejnegeri",1,FALSE
"Mesoplodon bidens",5,TRUE
"Mesoplodon layardii",0,FALSE
"Mesoplodon densirostris",4,TRUE
"Eschrichtius robustus",5,TRUE
"Balaenoptera acutorostrata",5,TRUE
"Balaenoptera edeni",4,TRUE
"Balaenoptera borealis",4,TRUE
"Balaenoptera physalus",6,TRUE
"Balaenoptera musculus",5,TRUE
"Megaptera novaeangliae",6,TRUE
"Balaena mysticetus",3,TRUE
"Caperea marginata",3,TRUE
"Eubalaena glacialis",5,TRUE
"Stenella frontalis",2,FALSE
"Globicephala melas",4,TRUE
"Eubalaena australis",3,TRUE
"Mesoplodon peruvianus",2,FALSE
"Eubalaena japonica",3,TRUE
"Balaenoptera bonaerensis",4,TRUE
"Sousa plumbea",1,FALSE
"Tursiops aduncus",5,TRUE
"Mesoplodon traversii",0,FALSE
"Mesoplodon perrini",1,FALSE
"Balaenoptera omurai",2,FALSE
"Sotalia guianensis",1,FALSE
"Mesoplodon hotaula",0,FALSE
"Orcaella heinsohni",2,FALSE
"Hexaprotodon liberiensis",2,FALSE
"Hexaprotodon madagascariensis",0,FALSE
"Hippopotamus amphibius",5,TRUE
"Hippopotamus lemerlei",0,FALSE
"Hippopotamus laloumena",0,FALSE
