"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis",NA,NA,NA
"2","Sousa sahulensis",NA,NA,NA
"3","Platanista gangetica",NA,NA,NA
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei","XM_059909408.1","PREDICTED:_Balaenoptera_ricei_microcephalin_1_(MCPH1),_transcript_variant_X6,_mRNA","2018"
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis",NA,NA,NA
"11","Lipotes vexillifer","KY011997.1","Lipotes_vexillifer_isolate_M9_MCPH1_(MCPH1)_gene,_exons_1_through_12_and_partial_cds","3521"
"12","Pontoporia blainvillei",NA,NA,NA
"13","Platanista minor","HQ873577.1","Platanista_minor_voucher_SWFSC_Z15224_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1215"
"14","Steno bredanensis","HQ873592.1","Steno_bredanensis_voucher_SWFSC_Z38282_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"15","Sousa chinensis","KY011993.1","Sousa_chinensis_isolate_M5_microcephalin_1_(MCPH1)_pseudogene,_partial_sequence","3538"
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis","HQ873607.1","Sotalia_fluviatilis_voucher_T1826_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"18","Tursiops truncatus","XM_073798651.1","PREDICTED:_Tursiops_truncatus_microcephalin_1_(MCPH1),_mRNA","3167"
"19","Stenella longirostris","HQ873604.1","Stenella_longirostris_voucher_SWFSC_Z24045_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"20","Stenella attenuata","HQ873603.1","Stenella_attenuata_voucher_SWFSC_Z18473_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"21","Stenella coeruleoalba","KY011992.1","Stenella_coeruleoalba_isolate_M4_MCPH1_(MCPH1)_gene,_exons_1_through_12_and_partial_cds","3539"
"22","Stenella clymene",NA,NA,NA
"23","Delphinus delphis","XM_060001202.2","PREDICTED:_Delphinus_delphis_microcephalin_1_(MCPH1),_mRNA","2612"
"24","Lagenodelphis hosei","HQ873606.1","Lagenodelphis_hosei_voucher_SWFSC_Z30468_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"25","Lagenorhynchus albirostris","XM_060136231.1","PREDICTED:_Lagenorhynchus_albirostris_microcephalin_1_(MCPH1),_mRNA","2864"
"26","Lagenorhynchus acutus","HQ873585.1","Lagenorhynchus_acutus_voucher_SWFSC_Z7842_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
