"","taxID","SpeciesName","AccNum","SeqName","SeqLen"
"1","3371156","Sagmatias obscurus",NA,NA,NA
"2","3371155","Sagmatias obliquidens",NA,NA,NA
"3","3371154","Sagmatias cruciger",NA,NA,NA
"4","3371153","Sagmatias australis",NA,NA,NA
"5","3371109","Leucopleurus acutus",NA,NA,NA
"6","3371042","Sagmatias",NA,NA,NA
"7","3371041","Leucopleurus",NA,NA,NA
"8","3370372","Neophocaena sunameri",NA,NA,NA
"9","3370120","Inia humboldtiana",NA,NA,NA
"10","3108004","Balaenoptera musculus brevicauda",NA,NA,NA
"11","3056774","Delphinus bairdii",NA,NA,NA
"12","3056773","Delphinus delphis delphis",NA,NA,NA
"13","3029583","Neophocaena sp. ZSIWGRC_3627",NA,NA,NA
"14","3029582","Neophocaena sp. ZSIWGRC_3626",NA,NA,NA
"15","3029581","unclassified Neophocaena",NA,NA,NA
"16","3027314","Tursiops sp. TT",NA,NA,NA
"17","3027313","Tursiops sp. TA",NA,NA,NA
"18","2944587","Tursiops erebennus",NA,NA,NA
"19","2941322","Balaenoptera musculus musculus",NA,NA,NA
"20","2880878","Sousa plumbea",NA,NA,NA
"21","2878263","Mesoplodon eueu",NA,NA,NA
"22","2746895","Balaenoptera ricei",NA,NA,NA
"23","2688959","unclassified Stenella (in: whales & dolphins)",NA,NA,NA
"24","2684924","unclassified Delphinus",NA,NA,NA
"25","2663531","Tursiops truncatus truncatus",NA,NA,NA
"26","2643127","unclassified Tursiops",NA,NA,NA
"27","2637209","unclassified Globicephala",NA,NA,NA
"28","2635866","unclassified Balaenoptera",NA,NA,NA
"29","2634352","unclassified Sotalia",NA,NA,NA
"30","2626396","unclassified Mesoplodon",NA,NA,NA
"31","2622018","unclassified Sousa",NA,NA,NA
"32","2617658","unclassified Lissodelphis",NA,NA,NA
"33","2608848","Berardius minimus",NA,NA,NA
"34","2588969","Stenella sp. STC3",NA,NA,NA
"35","2588968","Stenella sp. STC2",NA,NA,NA
"36","2581134","Delphinidae sp. FOAJ489-09",NA,NA,NA
"37","2267219","Delphinus sp. YORK 14186",NA,NA,NA
"38","1961080","Tursiops truncatus ponticus",NA,NA,NA
"39","1961079","Delphinus delphis ponticus",NA,NA,NA
"40","1921798","Sousa sahulensis",NA,NA,NA
"41","1706337","Neophocaena asiaeorientalis asiaeorientalis",NA,NA,NA
"42","1607687","Phocoena phocoena phocoena",NA,NA,NA
"43","1454009","Inia araguaiaensis",NA,NA,NA
"44","1326930","Mesoplodon sp. 1 CSB-2013",NA,NA,NA
"45","1303773","Delphinus sp. 1 AN-2013",NA,NA,NA
"46","1276262","Cephalorhynchus hectori maui",NA,NA,NA
"47","1234366","Mesoplodon hotaula",NA,NA,NA
"48","1220054","Phocoena phocoena relicta",NA,NA,NA
"49","1183062","Cephalorhynchus hectori hectori",NA,NA,NA
"50","1087195","Sousa sp. IND1",NA,NA,NA
"51","1087194","Sousa sp. HK9",NA,NA,NA
"52","1087193","Sousa sp. HK8",NA,NA,NA
