"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis",NA,NA,NA
"2","Sousa sahulensis",NA,NA,NA
"3","Platanista gangetica","OP131728.1","Platanista_gangetica_voucher_MBSV008_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","633"
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei","EU496283.1","Balaenoptera_ricei_voucher_SEFSC:MMMGL:Bede005_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","691"
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis","EU496359.1","Inia_geoffrensis_voucher_SEFSC:MMMGL:Igeo357_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"11","Lipotes vexillifer",NA,NA,NA
"12","Pontoporia blainvillei","EU496358.1","Pontoporia_blainvillei_voucher_SEFSC:MMMGL:2435_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"13","Platanista minor",NA,NA,NA
"14","Steno bredanensis","OR530460.1","Steno_bredanensis_voucher_USNM:MAMM:504497_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","658"
"15","Sousa chinensis",NA,NA,NA
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis",NA,NA,NA
"18","Tursiops truncatus","OR934709.1","Tursiops_truncatus_isolate_TtM3_PY_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","456"
"19","Stenella longirostris","PV450759.1","Stenella_longirostris_isolate_MTM2_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","688"
"20","Stenella attenuata","PV602333.1","Stenella_attenuata_voucher_PWF-Sa24-007_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","671"
"21","Stenella coeruleoalba","OR530698.1","Stenella_coeruleoalba_voucher_USNM:MAMM:571580_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"22","Stenella clymene","EU496348.1","Stenella_clymene_voucher_SEFSC:MMMGL:MML9510A_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"23","Delphinus delphis","OR530720.1","Delphinus_delphis_voucher_USNM:MAMM:572900_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"24","Lagenodelphis hosei","EU496355.1","Lagenodelphis_hosei_voucher_SEFSC:MMMGL:Lhos006_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
