"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis",NA,NA,NA
"2","Sousa sahulensis",NA,NA,NA
"3","Platanista gangetica",NA,NA,NA
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei","XM_059909408.1","PREDICTED: Balaenoptera ricei microcephalin 1 (MCPH1), transcript variant X6, mRNA","2018"
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis",NA,NA,NA
"11","Lipotes vexillifer","KY011997.1","Lipotes vexillifer isolate M9 MCPH1 (MCPH1) gene, exons 1 through 12 and partial cds","3521"
"12","Pontoporia blainvillei",NA,NA,NA
"13","Platanista minor","HQ873577.1","Platanista minor voucher SWFSC Z15224 microcephalin (MCPH1) gene, exon 8 and partial cds","1215"
"14","Steno bredanensis","HQ873592.1","Steno bredanensis voucher SWFSC Z38282 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"15","Sousa chinensis","KY011993.1","Sousa chinensis isolate M5 microcephalin 1 (MCPH1) pseudogene, partial sequence","3538"
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis","HQ873607.1","Sotalia fluviatilis voucher T1826 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"18","Tursiops truncatus","XM_073798651.1","PREDICTED: Tursiops truncatus microcephalin 1 (MCPH1), mRNA","3167"
"19","Stenella longirostris","HQ873604.1","Stenella longirostris voucher SWFSC Z24045 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"20","Stenella attenuata","HQ873603.1","Stenella attenuata voucher SWFSC Z18473 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"21","Stenella coeruleoalba","KY011992.1","Stenella coeruleoalba isolate M4 MCPH1 (MCPH1) gene, exons 1 through 12 and partial cds","3539"
"22","Stenella clymene",NA,NA,NA
"23","Delphinus delphis","XM_060001202.2","PREDICTED: Delphinus delphis microcephalin 1 (MCPH1), mRNA","2612"
"24","Lagenodelphis hosei","HQ873606.1","Lagenodelphis hosei voucher SWFSC Z30468 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"25","Lagenorhynchus albirostris","XM_060136231.1","PREDICTED: Lagenorhynchus albirostris microcephalin 1 (MCPH1), mRNA","2864"
"26","Lagenorhynchus acutus","HQ873585.1","Lagenorhynchus acutus voucher SWFSC Z7842 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"27","Lagenorhynchus obliquidens","HQ873589.1","Lagenorhynchus obliquidens voucher SWFSC Z25409 microcephalin (MCPH1) gene, exon 8 and partial cds","1221"
