"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis","XM_024741606.1","PREDICTED:_Neophocaena_asiaeorientalis_asiaeorientalis_casein_beta_(CSN2),_mRNA","1138"
"2","Sousa sahulensis",NA,NA,NA
"3","Platanista gangetica",NA,NA,NA
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei","XM_059924064.1","PREDICTED:_Balaenoptera_ricei_casein_beta_(CSN2),_mRNA","757"
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis","EU189394.1","Inia_geoffrensis_beta-casein_(CSN2)_gene,_partial_cds","1117"
"11","Lipotes vexillifer","JF701646.1","Lipotes_vexillifer_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","403"
"12","Pontoporia blainvillei","EU189390.1","Pontoporia_blainvillei_beta-casein_(CSN2)_gene,_partial_cds","424"
"13","Platanista minor","JF701648.1","Platanista_minor_voucher_SWFSC_Z15224_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","424"
"14","Steno bredanensis","JF504863.1","Steno_bredanensis_voucher_SWFSC_Z38282_beta-casein_(CSN2)_gene,_partial_cds","424"
"15","Sousa chinensis","JF504860.1","Sousa_chinensis_voucher_HR_OM41_beta-casein_(CSN2)_gene,_partial_cds","424"
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis","JF504862.1","Sotalia_fluviatilis_voucher_MS_T1826_beta-casein_(CSN2)_gene,_partial_cds","424"
"18","Tursiops truncatus","XM_073804668.1","PREDICTED:_Tursiops_truncatus_casein_beta_(CSN2),_mRNA","723"
"19","Stenella longirostris","JF504857.1","Stenella_longirostris_voucher_SWFSC_Z24045_beta-casein_(CSN2)_gene,_partial_cds","424"
"20","Stenella attenuata","JF504859.1","Stenella_attenuata_voucher_SWFSC_Z592_beta-casein_(CSN2)_gene,_partial_cds","424"
"21","Stenella coeruleoalba","JF504858.1","Stenella_coeruleoalba_voucher_SWFSC_Z37941_beta-casein_(CSN2)_gene,_partial_cds","424"
"22","Stenella clymene",NA,NA,NA
"23","Delphinus delphis","XM_060013165.1","PREDICTED:_Delphinus_delphis_casein_beta_(CSN2),_mRNA","816"
"24","Lagenodelphis hosei","JF504861.1","Lagenodelphis_hosei_voucher_SWFSC_Z30468_beta-casein_(CSN2)_gene,_partial_cds","424"
"25","Lagenorhynchus albirostris","XM_060147035.1","PREDICTED:_Lagenorhynchus_albirostris_casein_beta_(CSN2),_mRNA","813"
"26","Lagenorhynchus acutus","JF504867.1","Lagenorhynchus_acutus_voucher_SWFSC_Z7842_beta-casein_(CSN2)_gene,_partial_cds","424"
"27","Lagenorhynchus obliquidens","JF504865.1","Lagenorhynchus_obliquidens_voucher_SWFSC_Z4804_beta-casein_(CSN2)_gene,_partial_cds","424"
"28","Lagenorhynchus obscurus",NA,NA,NA
"29","Lagenorhynchus australis",NA,NA,NA
"30","Lagenorhynchus cruciger",NA,NA,NA
"31","Cephalorhynchus commersonii","JF504869.1","Cephalorhynchus_commersonii_voucher_SWFSC_Z480_beta-casein_(CSN2)_gene,_partial_cds","424"
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
"35","Lissodelphis borealis","JF504864.1","Lissodelphis_borealis_voucher_SWFSC_Z176_beta-casein_(CSN2)_gene,_partial_cds","424"
"36","Lissodelphis peronii",NA,NA,NA
"37","Grampus griseus","JF701643.1","Grampus_griseus_voucher_SWFSC_Z483_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","424"
"38","Peponocephala electra","JF504872.1","Peponocephala_electra_voucher_SWFSC_Z34003_beta-casein_(CSN2)_gene,_partial_cds","424"
"39","Feresa attenuata","JF504868.1","Feresa_attenuata_voucher_SWFSC_Z3944_beta-casein_(CSN2)_gene,_partial_cds","424"
"40","Pseudorca crassidens","XM_067734634.1","PREDICTED:_Pseudorca_crassidens_casein_beta_(CSN2),_mRNA","719"
"41","Globicephala macrorhynchus","JF701636.1","Globicephala_macrorhynchus_voucher_SWFSC_Z537_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","587"
"42","Orcinus orca","XM_004268341.3","PREDICTED:_Orcinus_orca_casein_beta_(CSN2),_mRNA","1132"
"43","Orcaella brevirostris",NA,NA,NA
"44","Phocoena phocoena","XM_065878181.1","PREDICTED:_Phocoena_phocoena_casein_beta_(CSN2),_mRNA","1136"
"45","Phocoena sinus","XM_032632699.1","PREDICTED:_Phocoena_sinus_casein_beta_(CSN2),_mRNA","1136"
"46","Phocoena dioptrica",NA,NA,NA
"47","Phocoena spinipinnis",NA,NA,NA
"48","Neophocaena phocaenoides","JF504874.1","Neophocaena_phocaenoides_voucher_SWFSC_Z984_beta-casein_(CSN2)_gene,_partial_cds","321"
"49","Phocoenoides dalli","JF701645.1","Phocoenoides_dalli_voucher_SWFSC_Z711_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","424"
"50","Delphinapterus leucas","XM_022561699.1","PREDICTED:_Delphinapterus_leucas_casein_beta_(CSN2),_transcript_variant_X2,_mRNA","1101"
"51","Monodon monoceros","XM_029235456.1","PREDICTED:_Monodon_monoceros_casein_beta_(CSN2),_mRNA","1138"
"52","Physeter macrocephalus","XM_007122517.3","PREDICTED:_Physeter_macrocephalus_casein_beta_(CSN2),_mRNA","1135"
"53","Kogia breviceps","XM_067036917.1","PREDICTED:_Kogia_breviceps_casein_beta_(CSN2),_transcript_variant_X4,_mRNA","1092"
"54","Kogia sima",NA,NA,NA
"55","Berardius arnuxii",NA,NA,NA
"56","Berardius bairdii",NA,NA,NA
"57","Ziphius cavirostris","EU444890.1","Ziphius_cavirostris_CSN2_(CSN2)_gene,_partial_cds","424"
"58","Tasmacetus shepherdi","JF701647.1","Tasmacetus_shepherdi_voucher_SWFSC_Z4971_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","424"
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus",NA,NA,NA
"61","Hyperoodon planifrons",NA,NA,NA
"62","Mesoplodon hectori",NA,NA,NA
"63","Mesoplodon mirus",NA,NA,NA
"64","Mesoplodon europaeus",NA,NA,NA
"65","Mesoplodon ginkgodens",NA,NA,NA
"66","Mesoplodon grayi",NA,NA,NA
