"","taxid","speciesname","accnum","seqname","seqlen"
"1","3371156","Sagmatias obscurus",NA,NA,NA
"2","3371155","Sagmatias obliquidens","XM_027123823.1","PREDICTED: Sagmatias obliquidens solute carrier family 26 member 5 (LOC113629432), mRNA","7116"
"3","3371154","Sagmatias cruciger",NA,NA,NA
"4","3371153","Sagmatias australis",NA,NA,NA
"5","3371109","Leucopleurus acutus",NA,NA,NA
"6","3371042","Sagmatias","XM_027123823.1","PREDICTED: Sagmatias obliquidens solute carrier family 26 member 5 (LOC113629432), mRNA","7116"
"7","3371041","Leucopleurus",NA,NA,NA
"8","3370372","Neophocaena sunameri",NA,NA,NA
"9","3370120","Inia humboldtiana",NA,NA,NA
"10","3108004","Balaenoptera musculus brevicauda",NA,NA,NA
"11","3056774","Delphinus bairdii",NA,NA,NA
"12","3056773","Delphinus delphis delphis",NA,NA,NA
"13","3029583","Neophocaena sp. ZSIWGRC_3627",NA,NA,NA
"14","3029582","Neophocaena sp. ZSIWGRC_3626",NA,NA,NA
"15","3029581","unclassified Neophocaena",NA,NA,NA
"16","3027314","Tursiops sp. TT",NA,NA,NA
"17","3027313","Tursiops sp. TA",NA,NA,NA
"18","2944587","Tursiops erebennus",NA,NA,NA
"19","2941322","Balaenoptera musculus musculus",NA,NA,NA
"20","2880878","Sousa plumbea",NA,NA,NA
"21","2878263","Mesoplodon eueu",NA,NA,NA
"22","2746895","Balaenoptera ricei","XM_059932876.1","PREDICTED: Balaenoptera ricei solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","4809"
"23","2688959","unclassified Stenella (in: whales & dolphins)",NA,NA,NA
"24","2684924","unclassified Delphinus",NA,NA,NA
"25","2663531","Tursiops truncatus truncatus",NA,NA,NA
"26","2643127","unclassified Tursiops",NA,NA,NA
"27","2637209","unclassified Globicephala",NA,NA,NA
"28","2635866","unclassified Balaenoptera",NA,NA,NA
"29","2634352","unclassified Sotalia",NA,NA,NA
"30","2626396","unclassified Mesoplodon",NA,NA,NA
"31","2622018","unclassified Sousa",NA,NA,NA
"32","2617658","unclassified Lissodelphis",NA,NA,NA
"33","2608848","Berardius minimus",NA,NA,NA
"34","2588969","Stenella sp. STC3",NA,NA,NA
"35","2588968","Stenella sp. STC2",NA,NA,NA
"36","2581134","Delphinidae sp. FOAJ489-09",NA,NA,NA
"37","2267219","Delphinus sp. YORK 14186",NA,NA,NA
"38","1961080","Tursiops truncatus ponticus",NA,NA,NA
"39","1961079","Delphinus delphis ponticus",NA,NA,NA
"40","1921798","Sousa sahulensis",NA,NA,NA
"41","1706337","Neophocaena asiaeorientalis asiaeorientalis","XM_024738104.1","PREDICTED: Neophocaena asiaeorientalis asiaeorientalis solute carrier family 26 member 5 (SLC26A5), mRNA","5754"
"42","1607687","Phocoena phocoena phocoena",NA,NA,NA
"43","1454009","Inia araguaiaensis",NA,NA,NA
"44","1326930","Mesoplodon sp. 1 CSB-2013",NA,NA,NA
"45","1303773","Delphinus sp. 1 AN-2013",NA,NA,NA
"46","1276262","Cephalorhynchus hectori maui",NA,NA,NA
"47","1234366","Mesoplodon hotaula",NA,NA,NA
"48","1220054","Phocoena phocoena relicta",NA,NA,NA
"49","1183062","Cephalorhynchus hectori hectori",NA,NA,NA
"50","1087195","Sousa sp. IND1",NA,NA,NA
"51","1087194","Sousa sp. HK9",NA,NA,NA
"52","1087193","Sousa sp. HK8",NA,NA,NA
"53","1087192","Sousa sp. HK7",NA,NA,NA
"54","1087191","Sousa sp. HK6",NA,NA,NA
"55","1087190","Sousa sp. HK5",NA,NA,NA
"56","1087189","Sousa sp. HK4",NA,NA,NA
"57","1087188","Sousa sp. HK3",NA,NA,NA
"58","1087187","Sousa sp. HK2",NA,NA,NA
"59","1087186","Sousa sp. HK1",NA,NA,NA
"60","1087185","Sousa sp. AUS5",NA,NA,NA
"61","1087184","Sousa sp. AUS4",NA,NA,NA
"62","1087183","Sousa sp. AUS3",NA,NA,NA
"63","1087182","Sousa sp. AUS2",NA,NA,NA
"64","1087181","Sousa sp. AUS1",NA,NA,NA
"65","1086039","Tursiops australis",NA,NA,NA
"66","1085636","Tursiops sp. CHF-2011",NA,NA,NA
"67","1085635","Sousa sp. CHF-2011",NA,NA,NA
"68","682059","Orcaella heinsohni",NA,NA,NA
"69","656111","Globicephala sp. EECT-2009a",NA,NA,NA
"70","511736","Sousa teuszii",NA,NA,NA
"71","487985","Balaenoptera acutorostrata subsp. unnamed",NA,NA,NA
"72","469900","Tursiops sp. SWFSC Z34066",NA,NA,NA
"73","468686","Sousa sp. NA026",NA,NA,NA
"74","468685","Sousa sp. NA025",NA,NA,NA
"75","468684","Sousa sp. NA005",NA,NA,NA
"76","468683","Sousa sp. NA002",NA,NA,NA
"77","468682","Sousa sp. HK020",NA,NA,NA
"78","468681","Sousa sp. HK017",NA,NA,NA
"79","468680","Sousa sp. HK016",NA,NA,NA
"80","468679","Sousa sp. HK015",NA,NA,NA
"81","468678","Sousa sp. AU005",NA,NA,NA
"82","468677","Sousa sp. AU004",NA,NA,NA
"83","468676","Sousa sp. AU003",NA,NA,NA
"84","468675","Sousa sp. AU002",NA,NA,NA
"85","468674","Sousa sp. AU001",NA,NA,NA
"86","436502","Tursiops sp. KB-2007",NA,NA,NA
"87","420362","Sotalia sp. SSC-2007",NA,NA,NA
"88","338729","Sotalia guianensis",NA,NA,NA
"89","323442","Stenella longirostris centroamericana",NA,NA,NA
"90","323441","Stenella longirostris longirostris",NA,NA,NA
"91","321137","Tursiops sp. AN-2005",NA,NA,NA
"92","310752","Balaenoptera acutorostrata scammoni",NA,NA,NA
"93","302098","Eubalaena japonica",NA,NA,NA
"94","272214","Mesoplodon ginkgodens",NA,NA,NA
"95","255365","Balaenoptera brydei",NA,NA,NA
"96","255217","Balaenoptera omurai",NA,NA,NA
"97","226940","Neobalaenidae",NA,NA,NA
"98","224732","Phocoena phocoena x Phocoenoides dalli",NA,NA,NA
"99","224731","Phocoena phocoena vomerina",NA,NA,NA
"100","221924","Indopacetus pacificus",NA,NA,NA
"101","221923","Indopacetus",NA,NA,NA
"102","200929","Mesoplodon traversii",NA,NA,NA
"103","197540","Iniidae",NA,NA,NA
"104","197539","Pontoporiidae",NA,NA,NA
"105","196388","Lissodelphis sp.",NA,NA,NA
"106","189058","Neophocaena asiaeorientalis","XM_024738104.1","PREDICTED: Neophocaena asiaeorientalis asiaeorientalis solute carrier family 26 member 5 (SLC26A5), mRNA","5754"
"107","187411","Mesoplodon perrini",NA,NA,NA
"108","160595","Eubalaena australis",NA,NA,NA
"109","158747","Stenella longirostris orientalis",NA,NA,NA
"110","152705","Tursiops truncatus gephyreus",NA,NA,NA
"111","149090","Inia geoffrensis geoffrensis",NA,NA,NA
"112","149089","Inia boliviensis",NA,NA,NA
"113","139690","Globicephala sp. IIC2000",NA,NA,NA
"114","119500","Lipotidae","XM_007467057.1","PREDICTED: Lipotes vexillifer solute carrier family 26 (anion exchanger), member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"115","118798","Platanista gangetica",NA,NA,NA
"116","118797","Lipotes vexillifer","XM_007467057.1","PREDICTED: Lipotes vexillifer solute carrier family 26 (anion exchanger), member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"117","118796","Lipotes","XM_007467057.1","PREDICTED: Lipotes vexillifer solute carrier family 26 (anion exchanger), member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"118","103600","Sousa chinensis",NA,NA,NA
"119","103599","Sousa",NA,NA,NA
"120","103598","Sotalia fluviatilis",NA,NA,NA
"121","103597","Sotalia",NA,NA,NA
"122","103596","Peponocephala electra",NA,NA,NA
"123","103595","Peponocephala",NA,NA,NA
"124","103594","Lagenodelphis hosei",NA,NA,NA
"125","103593","Lagenodelphis",NA,NA,NA
"126","103592","Feresa attenuata",NA,NA,NA
"127","103591","Feresa",NA,NA,NA
"128","103590","Stenella frontalis",NA,NA,NA
"129","103589","Stenella clymene",NA,NA,NA
"130","103588","Lissodelphis borealis",NA,NA,NA
"131","103585","Delphinus tropicalis",NA,NA,NA
"132","103584","Delphinus capensis",NA,NA,NA
"133","103583","Cephalorhynchus heavisidii",NA,NA,NA
"134","103582","Cephalorhynchus commersonii",NA,NA,NA
"135","86033","Platanista indi",NA,NA,NA
"136","85550","Balaenoptera musculus x Balaenoptera physalus",NA,NA,NA
"137","83653","Grampus griseus","GU219840.1","Grampus griseus prestin (SLC26A5) gene, complete cds","3926"
"138","83652","Grampus","GU219840.1","Grampus griseus prestin (SLC26A5) gene, complete cds","3926"
"139","82174","Pseudorca crassidens","XM_067745996.1","PREDICTED: Pseudorca crassidens solute carrier family 26 member 5 (SLC26A5), mRNA","6323"
"140","82173","Pseudorca","XM_067745996.1","PREDICTED: Pseudorca crassidens solute carrier family 26 member 5 (SLC26A5), mRNA","6323"
"141","79784","Tursiops aduncus",NA,NA,NA
"142","77568","Globicephala sp.",NA,NA,NA
"143","74480","Ziphiidae sp.",NA,NA,NA
"144","74395","Mesoplodon layardii",NA,NA,NA
"145","74394","Mesoplodon grayi",NA,NA,NA
"146","74393","Mesoplodon bowdoini",NA,NA,NA
"147","74392","Hyperoodon planifrons",NA,NA,NA
"148","74391","Berardius arnuxii",NA,NA,NA
"149","52116","Tasmacetus shepherdi",NA,NA,NA
"150","52115","Tasmacetus",NA,NA,NA
"151","52114","Mesoplodon stejnegeri",NA,NA,NA
"152","52113","Mesoplodon mirus",NA,NA,NA
"153","52112","Mesoplodon hectori",NA,NA,NA
"154","49273","Delphinidae gen. sp.",NA,NA,NA
"155","49272","unclassified Delphinidae",NA,NA,NA
"156","48752","Platanista minor",NA,NA,NA
"157","48750","Platanista",NA,NA,NA
"158","48747","Orcaella brevirostris",NA,NA,NA
"159","48746","Orcaella",NA,NA,NA
"160","48745","Mesoplodon bidens",NA,NA,NA
"161","48744","Hyperoodon ampullatus","HQ176005.1","Hyperoodon ampullatus prestin (SLC26A5) gene, complete cds","3926"
"162","48743","Hyperoodon","HQ176005.1","Hyperoodon ampullatus prestin (SLC26A5) gene, complete cds","3926"
"163","48742","Berardius bairdii",NA,NA,NA
"164","48741","Berardius",NA,NA,NA
"165","48723","Pontoporia blainvillei",NA,NA,NA
"166","48722","Pontoporia",NA,NA,NA
"167","48708","Mesoplodon densirostris","XM_060107594.1","PREDICTED: Mesoplodon densirostris solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","3419"
"168","46167","Steno bredanensis",NA,NA,NA
"169","46166","Steno",NA,NA,NA
"170","42100","Phocoena sinus","XM_032644084.1","PREDICTED: Phocoena sinus solute carrier family 26 member 5 (SLC26A5), mRNA","5906"
"171","40151","Monodon monoceros","XM_029233635.1","PREDICTED: Monodon monoceros solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","2449"
"172","40150","Monodon","XM_029233635.1","PREDICTED: Monodon monoceros solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","2449"
"173","38241","Globicephala macrorhynchus",NA,NA,NA
"174","37035","Cephalorhynchus hectori",NA,NA,NA
"175","37034","Balaenopteridae gen. sp.",NA,NA,NA
"176","34892","Neophocaena phocaenoides",NA,NA,NA
"177","34891","Neophocaena","XM_024738104.1","PREDICTED: Neophocaena asiaeorientalis asiaeorientalis solute carrier family 26 member 5 (SLC26A5), mRNA","5754"
