"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis","XM_024754187.1","PREDICTED: Neophocaena asiaeorientalis asiaeorientalis enamelin (ENAM), mRNA","3441"
"2","Sousa sahulensis",NA,NA,NA
"3","Platanista gangetica",NA,NA,NA
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei","XM_059924060.1","PREDICTED: Balaenoptera ricei enamelin (ENAM), mRNA","3465"
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis","GQ354851.1","Inia geoffrensis enamelin (ENAM) gene, exon 10 and partial cds","2752"
"11","Lipotes vexillifer","XM_007446091.1","PREDICTED: Lipotes vexillifer enamelin (ENAM), mRNA","3441"
"12","Pontoporia blainvillei","GQ354852.1","Pontoporia blainvillei enamelin (ENAM) gene, exon 10 and partial cds","2752"
"13","Platanista minor","GQ354854.1","Platanista minor enamelin (ENAM) gene, exon 10 and partial cds","2752"
"14","Steno bredanensis",NA,NA,NA
"15","Sousa chinensis",NA,NA,NA
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis",NA,NA,NA
"18","Tursiops truncatus","XM_033857118.1","PREDICTED: Tursiops truncatus enamelin (ENAM), mRNA","2912"
"19","Stenella longirostris",NA,NA,NA
"20","Stenella attenuata",NA,NA,NA
"21","Stenella coeruleoalba",NA,NA,NA
"22","Stenella clymene",NA,NA,NA
"23","Delphinus delphis","XM_060012421.1","PREDICTED: Delphinus delphis enamelin (ENAM), mRNA","3529"
"24","Lagenodelphis hosei",NA,NA,NA
"25","Lagenorhynchus albirostris","XM_060147240.1","PREDICTED: Lagenorhynchus albirostris enamelin (ENAM), mRNA","3444"
"26","Lagenorhynchus acutus",NA,NA,NA
"27","Lagenorhynchus obliquidens",NA,NA,NA
"28","Lagenorhynchus obscurus",NA,NA,NA
"29","Lagenorhynchus australis",NA,NA,NA
"30","Lagenorhynchus cruciger",NA,NA,NA
"31","Cephalorhynchus commersonii",NA,NA,NA
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
"35","Lissodelphis borealis",NA,NA,NA
"36","Lissodelphis peronii",NA,NA,NA
"37","Grampus griseus",NA,NA,NA
"38","Peponocephala electra",NA,NA,NA
"39","Feresa attenuata",NA,NA,NA
"40","Pseudorca crassidens","XM_067736220.1","PREDICTED: Pseudorca crassidens enamelin (ENAM), mRNA","3444"
"41","Globicephala macrorhynchus",NA,NA,NA
"42","Orcinus orca","XM_004283582.3","PREDICTED: Orcinus orca enamelin (ENAM), mRNA","2975"
"43","Orcaella brevirostris",NA,NA,NA
"44","Phocoena phocoena","XM_065878221.1","PREDICTED: Phocoena phocoena enamelin (ENAM), mRNA","3441"
"45","Phocoena sinus","XM_032632983.1","PREDICTED: Phocoena sinus enamelin (ENAM), mRNA","3915"
"46","Phocoena dioptrica",NA,NA,NA
"47","Phocoena spinipinnis",NA,NA,NA
"48","Neophocaena phocaenoides",NA,NA,NA
"49","Phocoenoides dalli",NA,NA,NA
"50","Delphinapterus leucas","XM_030764031.1","PREDICTED: Delphinapterus leucas enamelin (ENAM), mRNA","2841"
