"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis",NA,NA,NA
"2","Sousa sahulensis",NA,NA,NA
"3","Platanista gangetica",NA,NA,NA
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei",NA,NA,NA
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis",NA,NA,NA
"11","Lipotes vexillifer",NA,NA,NA
"12","Pontoporia blainvillei","FJ773308.1","Pontoporia blainvillei melanocortin-1 receptor (MC1R) gene, partial cds","936"
"13","Platanista minor",NA,NA,NA
"14","Steno bredanensis","FJ773292.1","Steno bredanensis melanocortin-1 receptor (MC1R) gene, partial cds","936"
"15","Sousa chinensis","JF504936.1","Sousa chinensis voucher HR OM41 melanocortin-1 receptor (MC1R) gene, complete cds","1071"
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis","JF504937.1","Sotalia fluviatilis voucher MS T1826 melanocortin-1 receptor (MC1R) gene, complete cds","1072"
"18","Tursiops truncatus","FJ773290.1","Tursiops truncatus melanocortin-1 receptor (MC1R) gene, partial cds","936"
"19","Stenella longirostris","JF504935.1","Stenella longirostris voucher SWFSC Z24045 melanocortin-1 receptor (MC1R) gene, complete cds","1074"
"20","Stenella attenuata","FJ773287.1","Stenella attenuata melanocortin-1 receptor (MC1R) gene, partial cds","936"
"21","Stenella coeruleoalba","FJ773289.1","Stenella coeruleoalba melanocortin-1 receptor (MC1R) gene, partial cds","936"
"22","Stenella clymene",NA,NA,NA
"23","Delphinus delphis","FJ773288.1","Delphinus delphis melanocortin-1 receptor (MC1R) gene, partial cds","936"
"24","Lagenodelphis hosei","FJ773291.1","Lagenodelphis hosei melanocortin-1 receptor (MC1R) gene, partial cds","936"
"25","Lagenorhynchus albirostris","FJ773302.1","Lagenorhynchus albirostris melanocortin-1 receptor (MC1R) gene, partial cds","936"
"26","Lagenorhynchus acutus","FJ773301.1","Lagenorhynchus acutus melanocortin-1 receptor (MC1R) gene, partial cds","936"
"27","Lagenorhynchus obliquidens","FJ773300.1","Lagenorhynchus obliquidens melanocortin-1 receptor (MC1R) gene, partial cds","936"
"28","Lagenorhynchus obscurus","FJ773299.1","Lagenorhynchus obscurus melanocortin-1 receptor (MC1R) gene, partial cds","936"
"29","Lagenorhynchus australis",NA,NA,NA
"30","Lagenorhynchus cruciger",NA,NA,NA
"31","Cephalorhynchus commersonii","FJ773298.1","Cephalorhynchus commersonii melanocortin-1 receptor (MC1R) gene, partial cds","936"
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
