"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis",NA,NA,NA
"2","Sousa sahulensis",NA,NA,NA
"3","Platanista gangetica",NA,NA,NA
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei",NA,NA,NA
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis","GQ368529.1","Inia geoffrensis voucher SWFSC:Z505 protamine P1 (PRM1) gene, complete cds","419"
"11","Lipotes vexillifer","JF701667.1","Lipotes vexillifer protamine P1 (PRM1) gene, complete cds","391"
"12","Pontoporia blainvillei","GQ368530.1","Pontoporia blainvillei voucher SWFSC:Z7349 protamine P1 (PRM1) gene, complete cds","412"
"13","Platanista minor","GQ368523.1","Platanista minor voucher SWFSC:Z15224 protamine P1 (PRM1) gene, complete cds","353"
"14","Steno bredanensis","EU697407.1","Steno bredanensis protamine P1 (PRM1) gene, complete cds","414"
"15","Sousa chinensis","JF505010.1","Sousa chinensis voucher HR OM41 protamine p1 (PRM1) gene, complete cds","414"
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis","JF505012.1","Sotalia fluviatilis voucher MS T1826 protamine p1 (PRM1) gene, complete cds","414"
"18","Tursiops truncatus","GQ368508.1","Tursiops truncatus voucher SWFSC:Z38274 protamine P1 (PRM1) gene, complete cds","414"
"19","Stenella longirostris","JF505007.1","Stenella longirostris voucher SWFSC Z24045 protamine p1 (PRM1) gene, complete cds","382"
"20","Stenella attenuata","JF505009.1","Stenella attenuata voucher SWFSC Z18479 protamine p1 (PRM1) gene, complete cds","414"
"21","Stenella coeruleoalba","EU697409.1","Stenella coeruleoalba protamine P1 (PRM1) gene, complete cds","414"
"22","Stenella clymene",NA,NA,NA
"23","Delphinus delphis","EU697408.1","Delphinus delphis protamine P1 (PRM1) gene, complete cds","414"
"24","Lagenodelphis hosei","JF505011.1","Lagenodelphis hosei voucher SWFSC Z30468 protamine p1 (PRM1) gene, complete cds","414"
"25","Lagenorhynchus albirostris","JF505014.1","Lagenorhynchus albirostris voucher SWFSC Z23522 protamine p1 (PRM1) gene, complete cds","414"
"26","Lagenorhynchus acutus","GQ368510.1","Lagenorhynchus acutus voucher SWFSC:Z7842 protamine P1 (PRM1) gene, complete cds","414"
"27","Lagenorhynchus obliquidens","JF505013.1","Lagenorhynchus obliquidens voucher SWFSC Z4804 protamine p1 (PRM1) gene, complete cds","414"
"28","Lagenorhynchus obscurus",NA,NA,NA
"29","Lagenorhynchus australis",NA,NA,NA
"30","Lagenorhynchus cruciger",NA,NA,NA
