"","SpeciesName","AccNum","SeqName","SeqLen"
"1","Neophocaena asiaeorientalis","KJ472903.1","Neophocaena asiaeorientalis haplotype CB09 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"2","Sousa sahulensis","KU522438.1","Sousa sahulensis clone DOL01 cytochrome b (cytb) gene, partial cds; mitochondrial","601"
"3","Platanista gangetica","PQ212750.1","Platanista gangetica isolate CIFRI.DOLP-1 cytochrome b (cytb) gene, partial cds; mitochondrial","359"
"4","Berardius minimus",NA,NA,NA
"5","Balaenoptera ricei","KJ586849.1","Balaenoptera ricei voucher SEFSC:MMMGL:Bede007 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"6","Mesoplodon eueu",NA,NA,NA
"7","Tursiops erebennus",NA,NA,NA
"8","Orcinus rectipinnus",NA,NA,NA
"9","Orcinus ater",NA,NA,NA
"10","Inia geoffrensis","AF521112.1","Inia geoffrensis geoffrensis isolate PT13 cytochrome b (cytb) gene, partial cds; mitochondrial gene for mitochondrial product","600"
"11","Lipotes vexillifer",NA,NA,NA
"12","Pontoporia blainvillei",NA,NA,NA
"13","Platanista minor",NA,NA,NA
"14","Steno bredanensis","GQ253567.1","Steno bredanensis isolate KAR/04/08 cytochrome b (Cytb) gene, partial cds; mitochondrial","413"
"15","Sousa chinensis","KU522439.1","Sousa chinensis clone SOU01 cytochrome b (cytb) gene, partial cds; mitochondrial","329"
"16","Sousa teuszii",NA,NA,NA
"17","Sotalia fluviatilis","DQ086828.1","Sotalia fluviatilis cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"18","Tursiops truncatus","OQ865173.1","Tursiops truncatus isolate QKM55084 tRNA-Glu gene, partial sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial","436"
"19","Stenella longirostris","OQ302781.1","Stenella longirostris voucher YL0236 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"20","Stenella attenuata","OQ865172.1","Stenella attenuata isolate QKM55101 tRNA-Glu gene, partial sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial","436"
"21","Stenella coeruleoalba","ON959819.1","Stenella coeruleoalba isolate 28SS1 cytochrome b (cytb) gene, partial cds; mitochondrial","421"
"22","Stenella clymene","MW714333.1","Stenella clymene isolate E140 cytochrome b (cytb) gene, partial cds; mitochondrial","918"
"23","Delphinus delphis","OQ302782.1","Delphinus delphis voucher TP20070619 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"24","Lagenodelphis hosei",NA,NA,NA
"25","Lagenorhynchus albirostris",NA,NA,NA
"26","Lagenorhynchus acutus",NA,NA,NA
"27","Lagenorhynchus obliquidens",NA,NA,NA
"28","Lagenorhynchus obscurus","AY821653.1","Lagenorhynchus obscurus haplotype NZ5 cytochrome b (cytb) gene, partial cds; mitochondrial","795"
"29","Lagenorhynchus australis",NA,NA,NA
"30","Lagenorhynchus cruciger",NA,NA,NA
"31","Cephalorhynchus commersonii",NA,NA,NA
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
"35","Lissodelphis borealis",NA,NA,NA
"36","Lissodelphis peronii",NA,NA,NA
"37","Grampus griseus","OR381459.1","Grampus griseus voucher MFRI S2214-2 cytochrome b (CYTB) gene, partial cds; tRNA-Thr and tRNA-Pro genes, complete sequence; and D-loop, partial sequence; mitochondrial","599"
"38","Peponocephala electra","OL628820.1","Peponocephala electra cytochrome b (cytb) gene, partial cds; mitochondrial","849"
"39","Feresa attenuata","OQ302784.1","Feresa attenuata voucher TN20050222-5 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"40","Pseudorca crassidens","EU517710.1","Pseudorca crassidens voucher SEFSC:MMMGL:Pcra004 tRNA-Glu (trnE) gene, partial sequence; and cytochrome b (cytb) gene, partial cds; mitochondrial","426"
"41","Globicephala macrorhynchus","OQ302786.1","Globicephala macrorhynchus voucher YL20070329-1 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"42","Orcinus orca","KM016873.1","Orcinus orca isolate 095 cytochrome b (CytB) gene, complete cds; and tRNA-Thr gene, partial sequence; mitochondrial","1193"
"43","Orcaella brevirostris","MN621343.1","Orcaella brevirostris voucher FTB OB11 cytochrome b (cytb) gene, partial cds; mitochondrial","986"
"44","Phocoena phocoena","MN330617.1","Phocoena phocoena isolate 29PHR cytochrome b (cytb) gene, partial cds; mitochondrial","148"
"45","Phocoena sinus","HM222714.1","Phocoena sinus isolate RF-9 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"46","Phocoena dioptrica",NA,NA,NA
"47","Phocoena spinipinnis","HM572306.1","Phocoena spinipinnis isolate B94 cytochrome b (cytb) gene, partial cds; mitochondrial","690"
"48","Neophocaena phocaenoides","KY542096.1","Neophocaena phocaenoides isolate FP01 cytochrome b (cytb) gene, partial cds; mitochondrial","704"
"49","Phocoenoides dalli",NA,NA,NA
"50","Delphinapterus leucas","MF919132.1","Delphinapterus leucas haplotype cb06 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"51","Monodon monoceros","U72038.1","Monodon monoceros cytochrome b (cytb), mitochondrial gene encoding mitochondrial protein, complete cds","1140"
"52","Physeter macrocephalus","DQ270181.1","Physeter catodon isolate CHW1 cytochrome b (cytb) gene, partial cds; mitochondrial","172"
"53","Kogia breviceps","OR399902.1","Kogia breviceps isolate KbSA87/06 cytochrome b (cytb) gene, partial cds; mitochondrial","294"
"54","Kogia sima","PP541713.1","Kogia sima isolate KSb cytochrome b (CYTB) gene, partial cds; mitochondrial","398"
"55","Berardius arnuxii","HQ400646.1","Berardius arnuxii isolate BarFK01JS5 cytochrome b (cytb) gene, partial cds; mitochondrial","680"
"56","Berardius bairdii","OR183789.1","Berardius bairdii voucher personal collection:FEROP:Bbw08_21, Moscow cytochrome b (cytb) gene, partial cds; mitochondrial","1072"
"57","Ziphius cavirostris","OR146990.1","Ziphius cavirostris isolate A0023 cytochrome b (CYTB) gene, partial cds; mitochondrial","295"
"58","Tasmacetus shepherdi",NA,NA,NA
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus",NA,NA,NA
"61","Hyperoodon planifrons","HQ400648.1","Hyperoodon planifrons isolate FK05Hpl cytochrome b (cytb) gene, partial cds; mitochondrial","327"
"62","Mesoplodon hectori","HQ400652.1","Mesoplodon hectori isolate FK03JS3Mhe cytochrome b (cytb) gene, partial cds; mitochondrial","680"
"63","Mesoplodon mirus","KX375803.1","Mesoplodon mirus isolate DJS R568 cytochrome b (cytb) gene, partial cds; mitochondrial","174"
"64","Mesoplodon europaeus",NA,NA,NA
"65","Mesoplodon ginkgodens","PV029739.1","Mesoplodon ginkgodens cytochrome b (cytb) gene, partial cds; mitochondrial","416"
"66","Mesoplodon grayi","MT813067.1","Mesoplodon grayi voucher MNHN/MAN 1972 cytochrome b (cytb) gene, partial cds; mitochondrial","801"
"67","Mesoplodon carlhubbsi",NA,NA,NA
"68","Mesoplodon bowdoini","HQ400649.1","Mesoplodon bowdoini isolate MbowFK03 cytochrome b (cytb) gene, partial cds; mitochondrial","188"
"69","Mesoplodon stejnegeri",NA,NA,NA
"70","Mesoplodon bidens",NA,NA,NA
"71","Mesoplodon layardii","HQ400659.1","Mesoplodon layardii isolate MlayFK02JS2 cytochrome b (cytb) gene, partial cds; mitochondrial","328"
"72","Mesoplodon densirostris",NA,NA,NA
"73","Eschrichtius robustus","OR146991.1","Eschrichtius robustus isolate A0026 cytochrome b (CYTB) gene, partial cds; mitochondrial","241"
"74","Balaenoptera acutorostrata","KJ586850.1","Balaenoptera acutorostrata voucher SEFSC:MMMGL:Bacu001 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"75","Balaenoptera edeni","MW984422.1","Balaenoptera edeni isolate WZD201903 cytochrome b (cytb) gene, partial cds; mitochondrial","650"
"76","Balaenoptera borealis","KJ586851.1","Balaenoptera borealis voucher SEFSC:MMMGL:Bbor001 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"77","Balaenoptera physalus","OR146987.1","Balaenoptera physalus isolate A0009 cytochrome b (CYTB) gene, partial cds; mitochondrial","296"
"78","Balaenoptera musculus","PV610717.1","Balaenoptera musculus isolate MBS-Bamu-001 cytochrome b (CYTB) gene, partial cds; mitochondrial","425"
"79","Megaptera novaeangliae","OR146992.1","Megaptera novaeangliae isolate A0031 cytochrome b (CYTB) gene, partial cds; mitochondrial","244"
"80","Balaena mysticetus","KF056914.1","Balaena mysticetus haplotype hpcb05 cytochrome b (Cytb) gene, complete cds; mitochondrial","1140"
"81","Caperea marginata",NA,NA,NA
"82","Eubalaena glacialis","MW711000.1","Eubalaena glacialis voucher MMB0329 cytochrome b (cytb) gene, partial cds; mitochondrial","227"
"83","Stenella frontalis","EU517714.1","Stenella frontalis voucher SEFSC:MMMGL:Sfro039 tRNA-Glu (trnE) gene, partial sequence; and cytochrome b (cytb) gene, partial cds; mitochondrial","666"
"84","Globicephala melas","MN330615.1","Globicephala melas isolate 05GMO cytochrome b (cytb) gene, partial cds; mitochondrial","148"
"85","Eubalaena australis","DQ095153.1","Eubalaena australis isolate EA604 cytochrome b (cytb) gene, complete cds; mitochondrial","1140"
"86","Mesoplodon peruvianus",NA,NA,NA
"87","Eubalaena japonica",NA,NA,NA
"88","Balaenoptera bonaerensis","KU215791.1","Balaenoptera bonaerensis voucher SEFSC:MMMGL:26Bbon001 tRNA-Glu gene, partial sequence; and cytochrome b (cytb) gene, partial cds; mitochondrial","667"
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus","MH000339.1","Tursiops aduncus isolate SBD03 cytochrome b (cytb) gene, partial cds; mitochondrial","704"
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini","AF441263.1","Mesoplodon perrini TMMC-C75 cytochrome b (cytb) gene, partial cds; mitochondrial gene for mitochondrial product","384"
"93","Balaenoptera omurai","MW984424.1","Balaenoptera omurai isolate FCG201901 cytochrome b (cytb) gene, partial cds; mitochondrial","630"
"94","Sotalia guianensis","EU022549.1","Sotalia guianensis haplotype HapEye05 cytochrome b (cytb) gene, partial cds; mitochondrial","741"
"95","Mesoplodon hotaula","OR754054.1","Mesoplodon hotaula isolate B2 cytochrome b (cytb) gene, partial cds; mitochondrial","384"
"96","Orcaella heinsohni",NA,NA,NA
